DistrictType,DistrictTTL,SchoolTTL,HighestAchievement,YearAfterGrad,DemographicGrouping,DemographicValue,MedianEarnings,MedianHours,NumRecords
School Dist,Mercer Island School District,Mercer Island High School,Bachelor's or Higher,13,Gender,Female,66800,1749,67
School Dist,Mercer Island School District,Mercer Island High School,Bachelor's or Higher,13,Gender,Male,93200,1987,54
School Dist,Renton School District,Hazen Senior High School,Bachelor's or Higher,7,Gender,Female,42900,1837,217
School Dist,Renton School District,Hazen Senior High School,Bachelor's or Higher,7,Gender,Male,43700,1920,175
School Dist,Renton School District,Hazen Senior High School,Bachelor's or Higher,8,Gender,Female,47600,1906.5,198
School Dist,Renton School District,Hazen Senior High School,Bachelor's or Higher,8,Gender,Male,47100,1952,165
School Dist,Renton School District,Hazen Senior High School,Bachelor's or Higher,9,Gender,Female,49400,1921.5,186
School Dist,Renton School District,Hazen Senior High School,Bachelor's or Higher,9,Gender,Male,54700,2021,161
School Dist,Renton School District,Hazen Senior High School,Bachelor's or Higher,10,Gender,Female,49500,1944,144
School Dist,Renton School District,Hazen Senior High School,Bachelor's or Higher,10,Gender,Male,63800,2006.5,132
School Dist,Renton School District,Hazen Senior High School,Bachelor's or Higher,11,Gender,Female,53000,1860,114
School Dist,Renton School District,Hazen Senior High School,Bachelor's or Higher,11,Gender,Male,66100,2066.5,106
School Dist,Renton School District,Hazen Senior High School,Bachelor's or Higher,12,Gender,Female,59700,1972,73
School Dist,Renton School District,Hazen Senior High School,Bachelor's or Higher,12,Gender,Male,70100,1993.5,58
School Dist,Renton School District,Lindbergh Sr. High School,Bachelor's or Higher,7,Gender,Female,40000,1809,153
School Dist,Renton School District,Lindbergh Sr. High School,Bachelor's or Higher,7,Gender,Male,43200,2029,87
School Dist,Renton School District,Lindbergh Sr. High School,Bachelor's or Higher,8,Gender,Female,41800,1859,150
School Dist,Renton School District,Lindbergh Sr. High School,Bachelor's or Higher,8,Gender,Male,47900,2016,101
School Dist,Renton School District,Lindbergh Sr. High School,Bachelor's or Higher,9,Gender,Female,47800,1920,154
School Dist,Renton School District,Lindbergh Sr. High School,Bachelor's or Higher,9,Gender,Male,53400,2042,90
School Dist,Renton School District,Lindbergh Sr. High School,Bachelor's or Higher,10,Gender,Female,52400,1952,130
School Dist,Renton School District,Lindbergh Sr. High School,Bachelor's or Higher,10,Gender,Male,57100,2004,83
School Dist,Renton School District,Lindbergh Sr. High School,Bachelor's or Higher,11,Gender,Female,51400,1966,91
School Dist,Renton School District,Lindbergh Sr. High School,Bachelor's or Higher,11,Gender,Male,59100,2019,68
School Dist,Renton School District,Lindbergh Sr. High School,Bachelor's or Higher,12,Gender,Female,52900,1840,61
School Dist,Renton School District,Lindbergh Sr. High School,Bachelor's or Higher,12,Gender,Male,54400,2065.5,44
School Dist,Renton School District,Renton Sr. High School,Bachelor's or Higher,7,Gender,Female,40400,1920,117
School Dist,Renton School District,Renton Sr. High School,Bachelor's or Higher,7,Gender,Male,36900,1860,65
School Dist,Renton School District,Renton Sr. High School,Bachelor's or Higher,8,Gender,Female,44200,1956,102
School Dist,Renton School District,Renton Sr. High School,Bachelor's or Higher,8,Gender,Male,45300,1883,63
School Dist,Renton School District,Renton Sr. High School,Bachelor's or Higher,9,Gender,Female,46600,1920,107
School Dist,Renton School District,Renton Sr. High School,Bachelor's or Higher,9,Gender,Male,51400,2010,66
School Dist,Renton School District,Renton Sr. High School,Bachelor's or Higher,10,Gender,Female,48200,1942,82
School Dist,Renton School District,Renton Sr. High School,Bachelor's or Higher,10,Gender,Male,55400,1968.5,56
School Dist,Renton School District,Renton Sr. High School,Bachelor's or Higher,11,Gender,Female,53800,1947,59
School Dist,Renton School District,Renton Sr. High School,Bachelor's or Higher,11,Gender,Male,57800,1920,47
School Dist,Renton School District,Renton Sr. High School,Bachelor's or Higher,12,Gender,Female,64000,1882,43
School Dist,Renton School District,Renton Sr. High School,Bachelor's or Higher,12,Gender,Male,61700,2063,33
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,7,Gender,Female,39400,1861,321
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,7,Gender,Male,41000,1922,283
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,8,Gender,Female,43300,1830,266
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,8,Gender,Male,43800,1930,255
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,9,Gender,Female,43800,1871,263
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,9,Gender,Male,44800,1946,246
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,10,Gender,Female,45400,1889.5,214
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,10,Gender,Male,49900,1980.5,200
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,11,Gender,Female,48100,1844,155
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,11,Gender,Male,56300,1984,145
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,12,Gender,Female,53300,1824.5,94
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,12,Gender,Male,58700,1945.5,118
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,13,Gender,Female,54400,1560,46
School Dist,Seattle Public Schools,Ballard High School,Bachelor's or Higher,13,Gender,Male,60900,1985,69
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,7,Gender,Female,42200,1932,103
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,7,Gender,Male,40800,1906,54
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,8,Gender,Female,44100,1950,89
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,8,Gender,Male,46500,1971.5,48
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,9,Gender,Female,44500,1961,85
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,9,Gender,Male,52100,2012.5,50
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,10,Gender,Female,43000,1855,79
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,10,Gender,Male,54500,2069,53
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,11,Gender,Female,49500,1927.5,54
School Dist,Seattle Public Schools,Chief Sealth High School,Bachelor's or Higher,11,Gender,Male,51600,1967,42
School Dist,Seattle Public Schools,Franklin High School,Bachelor's or Higher,7,Gender,Female,40700,2002.5,182
School Dist,Seattle Public Schools,Franklin High School,Bachelor's or Higher,7,Gender,Male,42800,1968,150
School Dist,Seattle Public Schools,Franklin High School,Bachelor's or Higher,8,Gender,Female,43900,1999.5,186
School Dist,Seattle Public Schools,Franklin High School,Bachelor's or Higher,8,Gender,Male,46800,2039,157
School Dist,Seattle Public Schools,Franklin High School,Bachelor's or Higher,9,Gender,Female,46900,1910,196
School Dist,Seattle Public Schools,Franklin High School,Bachelor's or Higher,9,Gender,Male,49200,1982,153
School Dist,Seattle Public Schools,Franklin High School,Bachelor's or Higher,10,Gender,Female,52200,1950,167
School Dist,Seattle Public Schools,Franklin High School,Bachelor's or Higher,10,Gender,Male,53300,1981.5,126
School Dist,Seattle Public Schools,Franklin High School,Bachelor's or Higher,11,Gender,Female,52600,1926,130
School Dist,Seattle Public Schools,Franklin High School,Bachelor's or Higher,11,Gender,Male,54000,2016.5,110
School Dist,Seattle Public Schools,Franklin High School,Bachelor's or Higher,12,Gender,Female,54700,1934.5,100
School Dist,Seattle Public Schools,Franklin High School,Bachelor's or Higher,12,Gender,Male,58100,1917.5,64
School Dist,Seattle Public Schools,Franklin High School,Bachelor's or Higher,13,Gender,Female,51500,1755,48
School Dist,Seattle Public Schools,Franklin High School,Bachelor's or Higher,13,Gender,Male,66000,2001,32
School Dist,Seattle Public Schools,Garfield High School,Bachelor's or Higher,7,Gender,Female,36600,1742,317
School Dist,Seattle Public Schools,Garfield High School,Bachelor's or Higher,7,Gender,Male,39200,1750,267
School Dist,Seattle Public Schools,Garfield High School,Bachelor's or Higher,8,Gender,Female,37800,1718,267
School Dist,Seattle Public Schools,Garfield High School,Bachelor's or Higher,8,Gender,Male,41300,1824,239
School Dist,Seattle Public Schools,Garfield High School,Bachelor's or Higher,9,Gender,Female,40100,1712,275
School Dist,Seattle Public Schools,Garfield High School,Bachelor's or Higher,9,Gender,Male,46900,1888,207
School Dist,Seattle Public Schools,Garfield High School,Bachelor's or Higher,10,Gender,Female,46400,1841,224
School Dist,Seattle Public Schools,Garfield High School,Bachelor's or Higher,10,Gender,Male,50700,1840,161
School Dist,Seattle Public Schools,Garfield High School,Bachelor's or Higher,11,Gender,Female,49800,1850.5,174
School Dist,Seattle Public Schools,Garfield High School,Bachelor's or Higher,11,Gender,Male,50800,1815,117
School Dist,Seattle Public Schools,Garfield High School,Bachelor's or Higher,12,Gender,Female,55200,1920,119
School Dist,Seattle Public Schools,Garfield High School,Bachelor's or Higher,12,Gender,Male,51400,1741.5,94
School Dist,Seattle Public Schools,Garfield High School,Bachelor's or Higher,13,Gender,Female,53900,1717,61
School Dist,Seattle Public Schools,Garfield High School,Bachelor's or Higher,13,Gender,Male,52200,1648,37
School Dist,Seattle Public Schools,Ingraham High School,Bachelor's or Higher,7,Gender,Female,38700,1882,175
School Dist,Seattle Public Schools,Ingraham High School,Bachelor's or Higher,7,Gender,Male,42900,1913,128
School Dist,Seattle Public Schools,Ingraham High School,Bachelor's or Higher,8,Gender,Female,43500,1913.5,170
School Dist,Seattle Public Schools,Ingraham High School,Bachelor's or Higher,8,Gender,Male,47300,1923,115
School Dist,Seattle Public Schools,Ingraham High School,Bachelor's or Higher,9,Gender,Female,46600,1946.5,168
School Dist,Seattle Public Schools,Ingraham High School,Bachelor's or Higher,9,Gender,Male,47300,1932,107
School Dist,Seattle Public Schools,Ingraham High School,Bachelor's or Higher,10,Gender,Female,49000,1951,134
School Dist,Seattle Public Schools,Ingraham High School,Bachelor's or Higher,10,Gender,Male,50100,1920,80
School Dist,Seattle Public Schools,Ingraham High School,Bachelor's or Higher,11,Gender,Female,53900,1952,97
School Dist,Seattle Public Schools,Ingraham High School,Bachelor's or Higher,11,Gender,Male,61600,1962,53
School Dist,Seattle Public Schools,Ingraham High School,Bachelor's or Higher,12,Gender,Female,60300,1992,53
School Dist,Seattle Public Schools,Ingraham High School,Bachelor's or Higher,12,Gender,Male,66000,1931,34
School Dist,Seattle Public Schools,Nathan Hale High School,Bachelor's or Higher,7,Gender,Female,37000,1790.5,218
School Dist,Seattle Public Schools,Nathan Hale High School,Bachelor's or Higher,7,Gender,Male,33100,1600,201
School Dist,Seattle Public Schools,Nathan Hale High School,Bachelor's or Higher,8,Gender,Female,41200,1850,203
School Dist,Seattle Public Schools,Nathan Hale High School,Bachelor's or Higher,8,Gender,Male,36400,1814,167
School Dist,Seattle Public Schools,Nathan Hale High School,Bachelor's or Higher,9,Gender,Female,41800,1818.5,206
School Dist,Seattle Public Schools,Nathan Hale High School,Bachelor's or Higher,9,Gender,Male,39000,1793,167
School Dist,Seattle Public Schools,Nathan Hale High School,Bachelor's or Higher,10,Gender,Female,47600,1811,160
School Dist,Seattle Public Schools,Nathan Hale High School,Bachelor's or Higher,10,Gender,Male,45600,1864,137
School Dist,Seattle Public Schools,Nathan Hale High School,Bachelor's or Higher,11,Gender,Female,49300,1881,111
School Dist,Seattle Public Schools,Nathan Hale High School,Bachelor's or Higher,11,Gender,Male,51400,1895,118
School Dist,Seattle Public Schools,Nathan Hale High School,Bachelor's or Higher,12,Gender,Female,50500,1760.5,76
School Dist,Seattle Public Schools,Nathan Hale High School,Bachelor's or Higher,12,Gender,Male,58700,1925,83
School Dist,Seattle Public Schools,Nathan Hale High School,Bachelor's or Higher,13,Gender,Female,59700,1893,44
School Dist,Seattle Public Schools,Nathan Hale High School,Bachelor's or Higher,13,Gender,Male,65300,1955,40
School Dist,Seattle Public Schools,Roosevelt High School,Bachelor's or Higher,7,Gender,Female,37900,1697,401
School Dist,Seattle Public Schools,Roosevelt High School,Bachelor's or Higher,7,Gender,Male,42100,1852,348
School Dist,Seattle Public Schools,Roosevelt High School,Bachelor's or Higher,8,Gender,Female,40800,1789,333
School Dist,Seattle Public Schools,Roosevelt High School,Bachelor's or Higher,8,Gender,Male,45500,1844.5,308
School Dist,Seattle Public Schools,Roosevelt High School,Bachelor's or Higher,9,Gender,Female,44000,1768,336
School Dist,Seattle Public Schools,Roosevelt High School,Bachelor's or Higher,9,Gender,Male,46000,1873,301
School Dist,Seattle Public Schools,Roosevelt High School,Bachelor's or Higher,10,Gender,Female,50900,1792,277
School Dist,Seattle Public Schools,Roosevelt High School,Bachelor's or Higher,10,Gender,Male,49700,1913.5,238
School Dist,Seattle Public Schools,Roosevelt High School,Bachelor's or Higher,11,Gender,Female,52900,1796,212
School Dist,Seattle Public Schools,Roosevelt High School,Bachelor's or Higher,11,Gender,Male,54300,1924,179
School Dist,Seattle Public Schools,Roosevelt High School,Bachelor's or Higher,12,Gender,Female,53300,1727,127
School Dist,Seattle Public Schools,Roosevelt High School,Bachelor's or Higher,12,Gender,Male,63200,1929,115
School Dist,Seattle Public Schools,Roosevelt High School,Bachelor's or Higher,13,Gender,Female,53600,1673,60
School Dist,Seattle Public Schools,Roosevelt High School,Bachelor's or Higher,13,Gender,Male,64200,1920,52
School Dist,Seattle Public Schools,The Center School,Bachelor's or Higher,7,Gender,Female,33700,1806,37
School Dist,Seattle Public Schools,The Center School,Bachelor's or Higher,7,Gender,Male,34800,1658,33
School Dist,Seattle Public Schools,The Center School,Bachelor's or Higher,8,Gender,Female,35300,1693,33
School Dist,Seattle Public Schools,The Center School,Bachelor's or Higher,8,Gender,Male,36300,1523,36
School Dist,Seattle Public Schools,The Center School,Bachelor's or Higher,9,Gender,Female,36300,1670.5,36
School Dist,Seattle Public Schools,The Center School,Bachelor's or Higher,9,Gender,Male,44000,1820.5,34
School Dist,Seattle Public Schools,The Center School,Bachelor's or Higher,10,Gender,Female,27600,1295.5,38
School Dist,Seattle Public Schools,The Center School,Bachelor's or Higher,10,Gender,Male,47300,1883.5,30
School Dist,Seattle Public Schools,West Seattle High School,Bachelor's or Higher,7,Gender,Female,41300,1894.5,174
School Dist,Seattle Public Schools,West Seattle High School,Bachelor's or Higher,7,Gender,Male,40100,1926.5,132
School Dist,Seattle Public Schools,West Seattle High School,Bachelor's or Higher,8,Gender,Female,44200,1893,162
School Dist,Seattle Public Schools,West Seattle High School,Bachelor's or Higher,8,Gender,Male,45900,1952,133
School Dist,Seattle Public Schools,West Seattle High School,Bachelor's or Higher,9,Gender,Female,46700,1874,163
School Dist,Seattle Public Schools,West Seattle High School,Bachelor's or Higher,9,Gender,Male,41400,1861.5,118
School Dist,Seattle Public Schools,West Seattle High School,Bachelor's or Higher,10,Gender,Female,48400,1872,128
School Dist,Seattle Public Schools,West Seattle High School,Bachelor's or Higher,10,Gender,Male,46900,1956,97
School Dist,Seattle Public Schools,West Seattle High School,Bachelor's or Higher,11,Gender,Female,52700,1906,89
School Dist,Seattle Public Schools,West Seattle High School,Bachelor's or Higher,11,Gender,Male,55200,1964,69
School Dist,Seattle Public Schools,West Seattle High School,Bachelor's or Higher,12,Gender,Female,54600,1920,55
School Dist,Seattle Public Schools,West Seattle High School,Bachelor's or Higher,12,Gender,Male,48600,1860,35
